carat,cut,depth,table,price,E,F,G,H,I,J,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
0.3,5,62.1,58.0,499,1,0,0,0,0,0,0,1,0,0,0,0,0
0.33,4,60.8,58.0,984,0,0,1,0,0,0,1,0,0,0,0,0,0
0.9,3,62.2,60.0,6289,1,0,0,0,0,0,0,0,0,0,0,0,1
0.42,5,61.6,56.0,1082,0,1,0,0,0,0,0,0,0,1,0,0,0
0.31,5,60.4,59.0,779,0,1,0,0,0,0,0,0,0,0,0,1,0
1.02,5,61.5,56.0,9502,0,0,0,0,0,0,0,0,0,0,1,0,0
1.01,2,63.7,60.0,4836,0,0,0,1,0,0,0,1,0,0,0,0,0
0.5,4,61.5,62.0,1415,1,0,0,0,0,0,0,1,0,0,0,0,0
1.21,2,63.8,64.0,5407,0,0,0,1,0,0,0,1,0,0,0,0,0
0.35,5,60.5,57.0,706,0,1,0,0,0,0,0,0,0,0,1,0,0
0.32,5,61.6,56.0,637,1,0,0,0,0,0,0,0,0,0,1,0,0
1.1,4,60.7,55.0,6468,0,0,0,0,0,0,0,1,0,0,0,0,0
0.5,2,61.1,58.2,1932,1,0,0,0,0,0,0,0,0,1,0,0,0
0.71,5,61.6,55.0,2767,0,0,0,0,0,0,0,0,1,0,0,0,0
1.5,1,66.2,53.0,10644,0,0,1,0,0,0,0,0,0,0,1,0,0
0.31,5,61.6,55.0,544,0,0,1,0,0,0,0,0,0,0,1,0,0
0.34,5,61.2,57.0,650,0,0,1,0,0,0,0,1,0,0,0,0,0
1.01,5,59.8,56.0,7127,0,0,0,0,0,0,0,0,0,0,1,0,0
0.9,2,61.9,64.0,3567,0,0,0,0,0,0,0,1,0,0,0,0,0
0.54,4,60.0,59.0,1637,0,0,1,0,0,0,0,0,0,0,1,0,0
1.04,4,61.1,60.0,10984,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4,5,62.9,57.0,1080,0,1,0,0,0,0,0,0,0,0,1,0,0
1.52,5,62.7,56.0,8631,0,0,0,0,0,0,0,0,1,0,0,0,0
1.19,5,61.7,56.0,4508,0,0,0,0,0,1,0,0,1,0,0,0,0
0.66,5,62.4,58.0,1609,0,0,0,1,0,0,0,1,0,0,0,0,0
1.5,4,61.4,62.0,7187,0,0,0,1,0,0,0,0,1,0,0,0,0
0.34,5,61.74514655500572,57.0,803,0,0,0,0,0,0,0,1,0,0,0,0,0
0.52,5,61.5,56.0,1576,1,0,0,0,0,0,0,0,0,0,1,0,0
0.31,5,61.9,56.0,595,0,0,0,1,0,0,0,1,0,0,0,0,0
0.71,2,64.0,58.0,1818,0,1,0,0,0,0,0,0,1,0,0,0,0
1.19,5,62.3,55.0,6335,0,0,1,0,0,0,0,1,0,0,0,0,0
0.72,3,63.0,59.0,2144,0,0,0,0,0,1,0,0,0,0,0,0,1
0.3,5,62.4,55.0,450,0,0,0,1,0,0,0,1,0,0,0,0,0
0.77,4,60.8,56.0,3260,1,0,0,0,0,0,0,0,0,1,0,0,0
0.35,3,59.9,56.0,846,0,0,0,0,0,0,0,0,0,1,0,0,0
