,carat,cut,depth,table,price,E,F,G,H,I,J,IF,SI1,SI2,VS1,VS2,VVS1,VVS2
11597,1.55,4,58.5,57.0,7161,1,0,0,0,0,0,0,0,1,0,0,0,0
19696,0.59,3,61.1,57.0,1664,0,0,1,0,0,0,0,0,0,0,1,0,0
13543,1.02,4,61.5,59.0,5250,0,0,1,0,0,0,0,0,0,0,1,0,0
17494,0.74,3,60.9,59.0,3389,0,0,1,0,0,0,0,0,0,1,0,0,0
6913,1.75,3,61.2,57.0,10098,0,0,0,0,1,0,0,0,1,0,0,0,0
2558,0.7,5,61.8,54.0,2593,0,0,1,0,0,0,0,0,0,0,1,0,0
18873,1.11,3,62.0,58.0,4769,1,0,0,0,0,0,0,0,1,0,0,0,0
3864,0.43,5,62.4,56.0,716,0,0,0,1,0,0,0,1,0,0,0,0,0
20759,0.24,3,62.3,57.0,336,0,0,0,0,1,0,0,0,0,0,0,1,0
14010,1.52,4,60.6,57.0,10300,0,0,0,0,1,0,0,0,0,1,0,0,0
25524,1.63,3,62.0,54.0,9090,0,0,0,0,1,0,0,1,0,0,0,0,0
8448,0.33,5,61.2,55.0,743,0,0,1,0,0,0,0,0,0,0,1,0,0
8939,1.51,3,61.5,54.0,10045,0,0,0,1,0,0,0,0,0,1,0,0,0
21218,0.82,5,61.5,56.0,2804,0,0,0,1,0,0,0,0,0,0,1,0,0
8124,0.48,5,61.4,56.0,969,0,0,1,0,0,0,0,1,0,0,0,0,0
5561,0.59,5,62.1,55.0,1916,0,0,1,0,0,0,0,0,0,1,0,0,0
17170,0.5,5,61.4,56.0,1629,1,0,0,0,0,0,0,0,0,0,1,0,0
6912,1.01,3,61.9,57.0,4619,0,1,0,0,0,0,0,1,0,0,0,0,0
12646,0.3,3,61.9,59.0,789,1,0,0,0,0,0,0,0,0,0,0,0,1
3153,0.31,5,62.4,55.0,544,0,0,1,0,0,0,0,0,0,0,1,0,0
16114,0.42,3,61.5,59.0,710,0,1,0,0,0,0,0,0,1,0,0,0,0
19684,1.51,3,63.2,60.0,8462,0,1,0,0,0,0,0,0,1,0,0,0,0
13506,1.02,5,62.4,55.0,4398,1,0,0,0,0,0,0,0,1,0,0,0,0
21212,1.32,3,62.8,56.0,7283,0,0,0,1,0,0,0,1,0,0,0,0,0
20806,1.52,4,62.0,62.0,8810,1,0,0,0,0,0,0,0,1,0,0,0,0
16765,0.74,5,62.7,56.0,2309,0,0,1,0,0,0,0,1,0,0,0,0,0
18365,0.76,4,60.9,58.0,2977,0,0,0,0,0,0,0,0,0,0,1,0,0
18718,1.11,5,62.3,56.0,4645,0,0,0,0,1,0,0,1,0,0,0,0,0
6938,0.36,5,60.7,56.0,971,0,0,0,0,0,0,0,0,0,0,0,0,1
4738,0.31,5,62.6,57.0,593,0,0,0,0,0,0,0,0,1,0,0,0,0
18015,1.23,5,62.1,57.0,6989,0,0,0,0,1,0,0,0,0,0,0,1,0
16993,0.9,3,62.3,63.0,3387,0,0,0,1,0,0,0,1,0,0,0,0,0
10048,1.0,2,61.9,61.0,4859,0,0,1,0,0,0,0,1,0,0,0,0,0
